TEMP       HUMIDITY        PRESSURE        HEAT_INDEX        DEW_POINT       DANGER
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
299.05      57.00           1013.00          26.72            16.72          LOW
